34	zNcLBbtLCLg	long	other	2563373	ลำดับวัดใจ x อูโน่ เฟย มีน ท็อป [GoyNattyDream]
35	NAY_cY8zYx4	long	other	2532853	ถ้าหนูรับ พี่จะรักป่ะ Ep. 18 แปลรักบิวกิ้นด้วยใจฉัน l [GoyNattyDream]
36	VCsk3DycQtM	short	other	2521283	ถ้าเจอคนรักแบบนี้ จะไปต่อหรือพอแค่นี้? #goynattydreamchannel
37	57qp4PsdUUw	short	other	2508268	ความในใจวี อยากให้เก้าตัดผม! #GoyNattyDreamChannel
38	716UYXnf3F0	short	other	2484852	โรเตอร์นี่มิย่าเองนะ😂 #มิย่า #มิย่าทองเจือ #ยังไงไหนเล่า #ก้อยนัตตี้ดรีม
39	6vtJqaXr07g	long	other	2364454	ยังไงไหนเล่า Ep. 2 มิลลิ ยัยเด็กนี่มันแสบบบบบบนัก! l [GoyNattyDream]
40	mMTKJzBczaE	long	other	2340859	บุกบ้านดรีมที่โคราช หลังใหญ่สุดในซอย!! l [GoyNattyDream]
41	eLQ6x1hnYBo	long	other	2305086	ยังไงไหนเล่า EP. 7 ซานิ ไม่เสียแรงที่พวกหนูเสียเงินโหวตพี่ l [GoyNattyDream]
42	0nOqBr1xVbk	long	other	2275668	ยังไงไหนเล่า EP. 1 วี วิโอเลต ไม่ใช่อย่างที่คุณคิด l [GoyNattyDream]
43	pTgqME6C3gw	long	other	2269958	ก้อยนัตตี้ดรีม วาเลนไทน์ แฟนกันวันนึง l [GoyNattyDream]
44	QvO-mspeEWM	long	other	2257695	Q&A รู้เรื่องลับ ก้อย นัตตี้ ดรีม !! l [GoyNattyDream]
45	D0cRjxCju7Y	long	other	2254635	ถ้าหนูรับ พี่จะรักป่ะ Ep. 33 อาเมะของพ่อไบร์ท เรียกแม่สิลูก l [GoyNattyDream]
46	apEEwCIgH50	long	other	2250571	Friendsfly ถล่มบ้านวี ฉลองปีใหม่ [GoyNattyDream]
47	6rZRMz4f060	short	other	2193909	คำด่าไหนเป็นของเพื่อนเรา #goynattydreamchannel
48	3s5L3bY3YoY	long	other	2177089	ขึ้นเรือยอร์ชกับ นิกกี้ ณฉัตร ตามสัญญา 2 ล้านวิว l [GoyNattyDream]
49	--xiabcKTRk	long	other	2171094	ลืมเวลา - Goy Arachaporn [OFFICIAL MV]
50	WAdKOJbyyEE	long	other	2164944	ถ้าหนูรับ พี่จะรักป่ะ Ep. 45 ตั๊ก บริบูรณ์ ก็มาเจอพวกหนูหน่อยดิค้าบ | [GoyNattyDream]
51	JfIx09121qk	long	other	2142641	ยังไงไหนเล่า EP. 15 ใหม่ ดาวิกา ความสวยของพี่ทำพวกหนูงงl [GoyNattyDream]
52	mg11a2NpEX0	long	other	2116816	PLAY WITH ME (เล่นกันไหม) - GOYNATTYDREAM FT. URBOYTJ [DANCE PERFORMANCE]
53	-XxpMu4PwAY	long	other	2107089	ถ้าหนูรับ พี่จะรักป่ะ Ep. 27 เฟย ภัทร คนนี้ที่นัตตี้ชอบก่อนอัพ l [GoyNattyDream]
54	byw4rHSosCM	long	other	2105610	ถ้าหนูรับ พี่จะรักป่ะ Ep. 36 นั่งข้างเจ้าขุนแล้ว อยากเป็นเจ้าสาวเลยค่า l [GoyNattyDream]
55	yy7_IFvPTIA	long	other	2048871	งานแต่งนัตตี้พี่แมน l [GoyNattyDream]
56	kX9c_Vf84BQ	long	other	2040621	ยังไงไหนเล่า EP. 39 วัดปะหล่ะกับน้องๆ 4EVE !! [GoyNattyDream]
57	o9S5fOUiQks	long	other	2028269	ถ้าหนูรับ พี่จะรักป่ะ Ep. 22 เอม วิทวัส ถึงพี่ไม่ชอบผู้หญิง แต่...พวกหนูชอบพี่! l [GoyNattyDream]
58	Ft_lE_AS6-0	long	other	1942715	แกล้งก้อยคืนอย่างหนัก เกือบเลิกจริงกับนิกกี้ !! l [GoyNattyDream]
59	jKmZuxMJlhA	long	travel	1874585	พัทยา นี่ใช่ที่ปิดแผลปะคะ? นั่นมันพลาสเตอร์ยา ! l [GoyNattyDream]
60	7H4Jp0jCnss	short	other	1869371	พีชเม้าท์ใบเฟิร์น #goynattydreamchannel
61	GvKS2qTZXY0	long	other	1844259	จับปูกับเซียนหรั่งที่ขอนแก่น [GoyNattyDream]
62	f5L_9_eGp1Q	long	other	1840305	เผาดรีมมมมม l [GoyNattyDream]
63	bNAgWX9iyFM	long	other	1824543	ถ้าหนูรับ พี่จะรักป่ะ Ep. 8 พี่ฟางหนูขอนะคะ - ว่าน ธนกฤต l [GoyNattyDream]
64	WTA72rK37XE	long	other	1822000	Friendsfly เมาเละ เต้นกลางถนนที่กรุงโรม [GoyNattyDream]
65	QmJXT9Z7frY	long	other	1815749	Friendsfly เกือบตายที่อิตาลี!! [GoyNattyDream]
66	R9kgtiS-0Y8	short	other	1815709	อย่าว่าพ๊อออ😂 #gracekanklao #แกรนด์thestar #เกรซกาญ์เกล้า #เกรซแกรนด์ #พี่น้อง #goynattydream
67	xG9IlKBznl4	long	other	1809000	Friendsfly นั่งรถไฟไปพักใจที่หัวหิน [GoyNattyDream]
68	HKQCQjbmvWc	short	talk	1800590	เก้าวีไม่คุยกันนานสุด 4-5 วัน!!! #GoyNattyDreamChannel
69	zr4HEDv0Cu4	long	other	1798934	ถ้าหนูรับ พี่จะรักป่ะ EP. 82 ซี-นุนิว เป็นลมกลางรายการ งานนี้มีช็อค l [GoyNattyDream]
70	FLxQW4QjQY0	short	other	1775068	ทายอายุ! นี่แม่หมอหรือพี่สาว #goynattydreamchannel
71	3ky9OWbMfW8	long	other	1748331	ยังไงไหนเล่า EP. 51 จันจิ เล่าหมดไปไงมาไง ถึงได้หัวใจพี่มาริโอ้ [GoyNattyDream]
72	7Uvdt2Wwku8	long	other	1726318	ถ้าหนูรับ พี่จะรักป่ะ Ep. 35 หนูอยากเป็นสะใภ้เซ็นทรัลค่ะ พี่พีช พชร l [GoyNattyDream]
73	ubXiFKAKvj8	short	other	1693381	พระเอกในดวงใจ เจนเย่ที่เคยแสดงด้วย #goynattydreamchannel
74	JIv1ABVTQTE	long	other	1675203	Friendsfly โสดคนแรกของกลุ่ม!! [GoyNattyDream]
75	CnZaBAm3xYI	long	other	1667164	Friendsfly ทะเลาะกันที่มาดากัสการ์ [GoyNattyDream]
76	hAuQvCY4R0U	long	other	1665592	Friendsfly เลือกแล้วที่อิตาลี ใครจะได้เป็นเจ้าสาวคนต่อไปของกลุ่ม!! [GoyNattyDream]
77	9jBYBMBzbAM	short	other	1663913	เกือบทะเลาะกลางรายการ เพราะ “พะแนง” #GoyNattyDreamChannel
78	HHqoqJzW3I4	long	other	1658489	ถ้าหนูรับ พี่จะรักป่ะ Ep. 9 ไม่อยากเป็นพี่น้องแล้วได้ไหม เบสท์ ณัฐสิทธิ์ l [GoyNattyDream]
79	TLAbfvC-Yuo	long	other	1642901	Friendsfly Ep1 แยกกันเราอยู่ รวมกัน! เละเทะ!! [GoyNattyDream]
80	xKY2a9j_4MY	long	other	1635164	Q&A ความรัก ก้อย นัตตี้ ดรีม วี l [GoyNattyDream]
81	aaQa2Zequhw	long	other	1628667	ถ้าหนูรับ พี่จะรักป่ะ Ep. 34 กิต Three Man Down หวัดดีเบลเราแล้วนะ l [GoyNattyDream]
82	wicDY5cSAkM	long	other	1621886	ยังไงไหนเล่า EP. 50 อุงเอิง SPD ตอบแล้วกับสไปร์ท สถานะอะไรน้า! [GoyNattyDream]
83	l4um3XNaNn0	long	other	1615190	ถ้าหนูรับ พี่จะรักป่ะ Ep. 16 RAP ยังไงให้เทอ RUK ฉันแทนต้าเหนิง - เจเจ กฤษณภูมิ l [GoyNattyDream]
84	lPonLttoVyA	long	other	1612697	ถ้าหนูรับ พี่จะรักป่ะ EP. 5 ศึกชิงสามีแห่งชาติ ตู่ ภพธร l [GoyNattyDream]
85	kWLh7PCILyU	short	other	1604646	ไนล่าาาาา🥲!!#ไนล่า #ก้อยอรัชพร #ไนล่า #เดือด #goyyog #goynattydream
86	yZZ7OccBpKQ	long	other	1603234	ยังไงไหนเล่า EP. 38 คิมเบอร์ลี รับประกัน! เรื่องนี้ไม่เคยเล่าให้ใครฟัง [GoyNattyDream]
87	XmakGkk98dQ	long	other	1595875	What's in our bags เปิดกระเป๋า ก้อย นัตตี้ ดรีม l [GoyNattyDream]
88	c1lZdFp3YU8	long	other	1592835	ถ้าหนูรับ พี่จะรักป่ะ Ep. 114 ท่อง AREA52 ไปกับแบมแบม l [GoyNattyDream]
89	bdpwyb_kGPE	long	other	1585316	ลองเป็นบาริสต้า แต่นัตตี้เจอลูกค้าด่าจนร้องไห้ l [GoyNattyDream]
90	Pvqav04qC9Y	short	other	1575044	ขึ้นต้นด้วยลำลงท้ายด้วยงู #ก้อยนัตตี้ดรีม #goynattydream#karnfoei #กานเฟย #ปล่อยกูไป
91	xamGeS_K2HA	long	other	1574594	ถ้าหนูรับ พี่จะรักป่ะ Ep. 43 ออฟ จุมพล แซ่บกว่าต้มยำก็พี่นี่ล่ะค่ะ l [GoyNattyDream]
92	n4P8BqMMheI	short	other	1569912	นอกใจกับนอกกาย อันไหนแย่กว่ากัน! #goynattydreamchannel
93	GhOwfei-Tvw	long	other	1564536	ถ้าหนูรับ พี่จะรักป่ะ Ep. 39 บี้ สุกฤษฎิ์ ก่อนเข้าวัดเข้าวา พี่ก็ซ่ามาเยอะน้า l [GoyNattyDream]
94	XNwvl4_JXP8	long	other	1560198	นัตตี้ ถูกขอแต่งงานที่มัลดีฟส์!! l [GoyNattyDream]
95	MQedYgjKcVw	long	other	1555101	ถ้าหนูรับ พี่จะรักป่ะ Ep. 30 แจ็ค แฟนฉัน! ปั่นก้อยจนหัวร้อน l [GoyNattyDream]
96	2_R3JSep46c	long	other	1553595	Friendsfly Ep2 วันหนึ่งฉันเดินเข้าป่า เข้ายังไง คืนเดียวสองแสน! [GoyNattyDream]
97	jqgABXynXr8	long	other	1548982	ชวนเก้าปลอมตัว มาป่วนกองถ่ายวี [GoyNattyDream]
98	4J5ApC1ubwM	long	other	1548234	ยังไงไหนเล่า EP. 10 โบว์ เมลดา สวยตลกเหมือนพวกเราเลย (หรอ) l [GoyNattyDream]
99	R7I2CpUAxKg	long	other	1547699	ถ้าหนูรับ พี่จะรักป่ะ Ep. 32 พี่ใหม่เขยิบหน่อยค่า ขออยู่ในใจลุงเต๋อ ฉันทวิชช์ด้วย l [GoyNattyDream]
100	GvOUAQ6zu9Q	long	other	1535057	ก้อยตี้ดรีมทำศัลยกรรมอะไรมาบ้าง [GoyNattyDream]
101	j_ZfiHRRdC8	short	other	1534561	รวมตัวกันวันหยุดที่บ้านดรีม ทำไรดีน้าา
102	o4Lg5vQCZCQ	long	other	1530053	ยังไงไหนเล่า EP. 20 ต้าเหนิง สมัยก่อนพี่เดินเจเจทุกวันนะ ผ่ามๆๆๆ [GoyNattyDream]
103	gF2FXJeHj-4	long	other	1524233	ถ้าหนูรับ พี่จะรักป่ะ Ep. 11 พิชิตใจ โดม ปกรณ์ ลัม หล่อขั้นเทพในตำนาน l [GoyNattyDream]
104	j60RxSgzq6A	long	other	1521007	ถ้าหนูรับ พี่จะรักป่ะ Ep. 98 ผู้หญิงพายเรือไปจีบ แน็ก ชาลี ! l [GoyNattyDream]
105	4IJFOS9Vf-s	long	other	1491033	ถ้าหนูรับ พี่จะรักป่ะ EP. 89 ล้วงความรักพี่มาริโอ้ เมาเร่อ! l [GoyNattyDream]
106	7ZTCWzmi_7U	long	other	1486754	ถ้าหนูรับ พี่จะรักป่ะ Ep. 56 พีพี กฤษฏ์ เคยมีเพื่อนเป็นแฟนไหม? แหมมมมม l [GoyNattyDream]
107	Y1zwJmjT3IM	long	other	1477559	ถ้าหนูรับ พี่จะรักป่ะ Ep. 20 อยากเป็นยุนอา มาคว้าใจนนกุล | [GoyNattyDream]
108	CdwvFnvOyVs	long	other	1468121	ยังไงไหนเล่า EP. 54 เมื่อก้อยโดน ”อิงฟ้า” ตกกลางรายการ [GoyNattyDream]
109	XiEJsikajqI	long	other	1460268	ไปค่ะ พส EP. 2 สมุยเป็นทะเลไม่ใช่เขา ทำไงเธอถึงจะรักเรา l [GoyNattyDream]
110	fe6E-uB-nRI	long	other	1453102	เก้าสุภัสเม้า! จุดเริ่มต้นความรักของ ‘เก้า-วี’ [GoyNattyDream]
111	xIoofhFKdSQ	long	other	1447770	Friendsfly วีทำแหวนที่เก้าให้หาย ที่เกาหลี!! [GoyNattyDream]
112	T5oO2J7Ri8A	long	other	1435512	ยังไงไหนเล่า EP. 11 ปันปัน สุทัตตา ไม่รู้จักคำว่าโสดค่ะ l [GoyNattyDream]
113	KUd9-MMlm58	long	other	1435476	ยังไงไหนเล่า EP. 4 เมื่อติช่า กันติชา มาสอนให้พวกเราเป็นเสือสาว!! | [GoyNattyDream]
114	RfZ4mcu1qLk	long	other	1428960	ถ้าหนูรับ พี่จะรักป่ะ Ep. 19 อยากเป็นที่รักของมิวบ้างนะกลัฟ l [GoyNattyDream]
115	Ixc3WeXEnMM	long	other	1423741	ถ้าหนูรับ พี่จะรักป่ะ Ep. 41 นนท์ ธนนท์ มีผลต่อหัวใจพวกเรามากค่า | [GoyNattyDream]
116	p4Tk2MYbPAc	long	other	1423680	ยังไงไหนเล่า EP. 3 อิ้งค์ วรันธร พวกเราอยากสวยและมีสติเหมือนเธอจัง | [GoyNattyDream]
117	2_qbHunVaKU	long	other	1416239	สรุปค่าใช้จ่ายงานแต่งนัตตี้l [GoyNattyDream]
118	NZqw82NV0iY	long	other	1414369	My Ambulove EP.15 : หลิง - ออม l [GoyNattyDream]
119	Dk2Hf4p0TVc	long	other	1410522	นิกกี้ตัดผมก้อยให้เป็นมู่หลาน l [GoyNattyDream]
120	wY2fVBYLw1U	long	other	1398094	แก๊ง 4 QUEENS ศึก 4 สถาบัน งานนี้ตบเป็นตบ !!!! l [GoyNattyDream]
121	lIA6xqJEG8Q	short	other	1390948	จากประชุม จะกลายเป็นประเมินพนักงานรอบ2แทนนะจ๊ะ#goynattydreamchannel
122	37kJOJx11wE	long	other	1385166	ถ้าหนูรับ พี่จะรักป่ะ Ep. 10 หมอฉลามรับรักพี่เถอะ - สกาย วงศ์รวี l [GoyNattyDream]
123	66kFU5y_3a4	long	other	1380276	Special EP ถ้าพี่รับ หนูจะรักป่ะ By นิกกี้ เม้าส์ แจ็ค l [GoyNattyDream]
124	59soIqMZOu0	long	other	1376060	ถ้าหนูรับ พี่จะรักป่ะ Ep.67 TRINITY เติร์ด ปอร์เช่ แจ๊คกี้ l [GoyNattyDream]
125	zOLkAlT7xC8	long	other	1373883	ถ้าโลกนี้ ไม่มีมือถือ [GoyNattyDream]
126	Ef_pMyr-xmo	long	other	1372788	ท้าตอบคำถามสุดโหดกับเจมส์จิ อาเล็ก บอย เป๊ก เกรท [GoyNattyDream]
127	man7OPfqH7s	long	other	1371473	ตามติดชีวิต 1 เดือน ก้อยดรีมทะเลาะเดือด [GoyNattyDream]
128	LusuNinPGzE	long	other	1370707	ถ้าหนูรับ พี่จะรักป่ะ Ep. 24 แบงค์ ธิติ เป็นแฟนอ้ายแบงค์ได้บ่ l [GoyNattyDream]
129	IqnlDl6KOfk	long	other	1360583	Friendsfly มหากาพย์ นั่งรถ 30 ชม!!! [GoyNattyDream]
130	ZrXx--iDqV8	long	other	1353176	ถ้าพี่รับ พี่จะบอกรักปะ!!! l [GoyNattyDream]
131	8bgyFNqmrls	long	other	1351483	ถ้าหนูรับ พี่จะรักป่ะ Ep. 31 ยิงความรักเข้ากลางใจ พี่อาเล็ก ธีรเดช l [GoyNattyDream]
132	oU6Aho3STrM	long	other	1337548	หลอกดรีมมาถ่ายคลิปเล่าเรื่องผี เพื่อเซอไพรส์วันเกิด! l [GoyNattyDream]
